Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[ktonCO2_eq/GW] [ktonCO2_eq/GWh] [ktonCO2_eq/(Mkmpass/h)] [ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;4845.734619;102.930986;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Nuclear;NUCLEAR_SMR;4845.734619;102.930986;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;1160.522427;17.40783515;183.79;30;0.59;0;1;0;0;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2516.71;30.0225445;331.6;35;0.865396;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3245.81;49.47283735;331.6;35;0.853432;0;1;0;0;
Electricity;Electricity;Biomass power plant;BIOMASS_TO_POWER;1677.0152;69.9431;331.6;35;0.868;0;1;0;0;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;737.8867059;9.726688396;2081.43;30;1;0;1;0;0;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;600.6429161;18.64367333;2081.43;30;1;0;1;0;0;
Electricity;Electricity;Parabolic trough collectors;PT_COLLECTOR;4504.71429;62.65;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower collectors;ST_COLLECTOR;5517.02;63;0;25;1;0;1;0;0;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1044.57;62.65;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;768.19;63;0;25;1;0;1;0;0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1274.669282;20.68555648;622.85;30;1;0;1;0;0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4974.63;36.31492615;622.85;30;1;0;1;0;0;
Electricity;Electricity;Hydro dam;HYDRO_DAM;2206.3;22.063;1262.82;100;1;0;1;0;0;
Electricity;Electricity;Hydro river;HYDRO_RIVER;2000.264;20.003;1262.82;100;1;0;1;0;0;
Electricity;Electricity;Tidal stream;TIDAL_STREAM;3752;165;0;20;1;0;1;0;0;
Electricity;Electricity;Tidal range;TIDAL_RANGE;2867;178;0;40;1;0;1;0;0;
Electricity;Electricity;Wave;WAVE;2912.5;97.4107;0;25;0.3995;0;1;0;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;3149.582263;78.73950433;24929.09;50;0.914;0;1;0;0;
Electricity;Electricity;Diesel genset;GENSET_DIESEL;384.6;5.769001632;516.55;30;0.85;0;1;0;0;
Electricity;Electricity;Open cycle gas turbine;OCGT;872.3303323;21.80825831;183.79;30;0.123207004;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine;CCGT;1160.522427;17.40783515;183.79;30;0.408081032;0;1;0;0;
Electricity;Electricity;Grate-firing-steam turbine;ST_BIOMASS;1590.140202;36.88443882;165.33;30;0.409994599;0;1;0;0;
Electricity;Electricity;Syngas-steam turbine;ST_SNG;875.1883241;13.12751257;1024.32;30;0.409994599;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine_Sur;CCGT_SUR;1181.883504;17.72822475;183.79;30;0.85;0;1;0;0;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1375.29;88.4020465;1024.32;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1055.66;38.65019707;165.33;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2836.05;104.5517472;647.82;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;58.89;1.179885757;12.32;17;0.9443;0;1;0;0;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;115.18;2.303586478;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler biowaste (industry);IND_BOILER_BIOWASTE;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
