param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
SA-BN	NUCLEAR	4845.734619	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
SA-BN	NUCLEAR_SMR	4845.734619	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
SA-BN	CCGT_AMMONIA	1181.883504	17.72822475	183.79	30	0.9615	0.0	1.0	0.0	0.0
SA-BN	COAL_US	2516.71	30.0225445	331.6	35	0.865396	0.0	1.0	0.0	0.0
SA-BN	COAL_IGCC	3245.81	49.47283735	331.6	35	0.853432	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_POWER	1677.0152	69.9431	331.6	35	0.868	0.0	1.0	0.0	0.0
SA-BN	PV_ROOFTOP	737.8867059	9.726688396	2081.43	30	1.0	0.0	1.0	0.0	0.0
SA-BN	PV_UTILITY	713.2695839	21.86307053	2081.43	30	1.0	0.0	1.0	0.003259	Infinity
SA-BN	PT_COLLECTOR	4504.71429	62.65	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	ST_COLLECTOR	5517.02	63.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	PT_POWER_BLOCK	1044.57	62.65	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	ST_POWER_BLOCK	768.19	63.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	WIND_ONSHORE	1407.0809	22.32199111	622.85	30	1.0	0.0	1.0	0.0	0.0
SA-BN	WIND_OFFSHORE	4974.63	36.31492615	622.85	30	1.0	0.0	1.0	0.0	0.0
SA-BN	HYDRO_DAM	2206.3	22.063	1262.82	100	1.0	0.0	1.0	0.0	0.0
SA-BN	HYDRO_RIVER	2000.264	20.003	1262.82	100	1.0	0.0	1.0	0.0	0.0
SA-BN	TIDAL_STREAM	3752.0	165.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TIDAL_RANGE	2867.0	178.0	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	WAVE	2912.5	97.4107	0.0	25	0.3995	0.0	1.0	0.0	0.0
SA-BN	GEOTHERMAL	3296.072859	80.57065559	24929.09	50	0.914	0.0	1.0	0.0	0.0
SA-BN	GENSET_DIESEL	384.6	5.769001632	516.55	30	1.0	0.0	1.0	0.002846	Infinity
SA-BN	OCGT	888.386821	22.20967053	183.79	30	0.85	0.0	1.0	0.0	0.0
SA-BN	CCGT	1181.883504	17.72822475	183.79	30	0.85	0.0	1.0	0.0	0.0
SA-BN	ST_BIOMASS	1619.40901	37.56329352	165.33	30	0.868	0.0	1.0	0.0	0.0
SA-BN	ST_SNG	927.1061546	13.90642691	1024.32	30	0.868	0.0	1.0	0.0	0.0
SA-BN	CCGT_SUR	1181.883504	17.72822475	183.79	30	0.85	0.0	1.0	0.0	0.0
SA-BN	IND_COGEN_GAS	1440.78	92.61166776	1024.32	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_COGEN_WOOD	1105.93	40.49068265	165.33	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_COGEN_WASTE	3019.68	111.3212848	647.82	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_GAS	58.89	1.179885757	12.32	17	0.9443	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_WOOD	115.18	2.303586478	28.87	17	0.8946	0.0	1.0	0.0	Infinity
SA-BN	IND_BOILER_BIOWASTE	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_OIL	54.86	1.179885757	12.32	17	0.9443	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_COAL	115.18	2.303586478	48.18	17	0.8946	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_WASTE	115.18	2.303586478	28.87	17	0.8946	0.0	1.0	0.0	0.0
SA-BN	IND_DIRECT_ELEC	332.34	1.507631801	1.47	15	0.9443	0.0	1.0	0.0	0.0
SA-BN	DHN_HP_ELEC	395.73	13.41870073	174.79	25	0.9443	0.0	1.0	0.0	0.0
SA-BN	DHN_COGEN_GAS	1361.46	39.80624675	490.88	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	DHN_COGEN_WOOD	1172.95	42.94466341	165.33	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	DHN_COGEN_WASTE	3182.91	117.3386515	647.82	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	DHN_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	Infinity
