Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;116.59560423214258;18.70654801876139;0.0;0;0;0;0;29.936892595167535;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.8513336993206133;0.0;1.3632971347835665;0;0;0;0;0.0;[GWh]
Lighting;Public lighting;LIGHTING_P;0.0;1.9958397854753882;0.0;0;0;0;0;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Heat;Cooking;COOKING;194.35145651475872;0.0;0.0;0;0;0;0;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;0;0;0;0;0.0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;0;0;0;0;0.0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0.0;0.0;0.0;0;0;0;0;0.0;[Mpkm]
Mobility;International shipping;SHIPPING;0.0;0.0;0.0;0;0;0;0;0.0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0.0;0.0;44.93635880291532;0;0;0;0;0.0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;0.0;0;0;0;0;0.0;[GWh]
