;;;Local availability;Exterior availability;Direct and indirect emissions for local resource;Price for local resource;
;;units;[GWh/y];[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail_local;avail_exterior;gwp_op_local;c_op_local;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0;100;0.206485714;1.063732000000;
Non-renewable;Fossil fuel;GASOLINE;0;0;0.3448;0.116427080000;
Non-renewable;Fossil fuel;DIESEL;0;0;0.3148;0.108136022000;
Renewable;Renewable fuels;GASOLINE_RE;0;0;0;0.122502774000;
Renewable;Renewable fuel;DIESEL_RE;0;0;0;0.131394244000;
Non-renewable;Fossil fuel;LFO;0;0;0.3115;0.083725505000;
Renewable;Renewable fuel;LFO_RE;0;0;0;0.150200000000;
Non-renewable;Fossil fuel;JET_FUEL;0;0;0.3148;0.083725505000;
Renewable;Renewable fuel;JET_FUEL_RE;0;0;0;0.150200000000;
Non-renewable;Fossil fuel;GAS;0;0;0.2666;0.009592439000;
Renewable;Renewable fuel;GAS_RE;0;0;0;0.132345636000;
Renewable;Biomass;WOOD;0;0;0.02456;0.016980597000;
Renewable;Biomass;WET_BIOMASS;0;0;0.01056;0.010318121000;
Renewable;Biomass;ENERGY_CROPS_2;0;0;0.00756;0.010318121000;
Renewable;Biomass;BIOWASTE;0;0;0.00324;0.010318121000;
Renewable;Biomass;BIOMASS_RESIDUES;0;0;0.01488;0.010318121000;
Non-renewable;Fossil fuel;COAL;0;0;0.4;0.015545445000;
Non-renewable;Other non-renewable;URANIUM;0;0;0;0.003876456000;
Non-renewable;Other non-renewable;WASTE;0;0;0.15;0.021187834000;
Non-renewable;Other non-renewable;H2;0;0;0.36;0.077642645000;
Renewable;Renewable fuel;H2_RE;0;0;0;0.137854413000;
Non-renewable;Other non-renewable;AMMONIA;0;0;0.46;0.094714031000;
Non-renewable;Other non-renewable;METHANOL;0;0;0.41;0.101985823000;
Renewable;Renewable fuel;AMMONIA_RE;0;0;0;0.081823311000;
Renewable;Renewable fuel;METHANOL_RE;0;0;0;0.111323944000;
Export;Export;CO2_EMISSIONS;0;1.00E+15;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATM ;0;1.00E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
Non-renewable;Fossil fuel;LPG;0;0;0.28360908;0.0186712910000;
Non-renewable;Fossil fuel;LNG;0;0;0.2666;0.1987557000000;
Export;Export;CO2_EMISSIONS_CAPTURED;0;1.00E+15;0;0;
Export;Export;CO2_EMISSIONS_ATM;0;1.00E+15;0;0;
